Module,Register,Planned_RTL,Actual_Synthesis,Status,Total FF per Module,,Module,Expected,Actual,Differences
rst_n_sync_0,rst_n_sync,0,1,Inferred / Generated,2,,,,,
rst_n_sync_1,ff0_sync,0,1,Inferred / Generated,1,,,,,
rst_n_sync_clk100M,ff0_sync,1,0,Optimized Out,,,,,,
rst_n_sync_clk100M,rst_n_sync,1,0,Optimized Out,0,,,,,
rst_n_sync_sys_clk,ff0_sync,1,0,Optimized Out,,,,,,
rst_n_sync_sys_clk,rst_n_sync,1,0,Optimized Out,0,,,,,
rst_n_sync_wiz_clk,ff0_sync,1,0,Optimized Out,,,,,,
rst_n_sync_wiz_clk,rst_n_sync,1,0,Optimized Out,0,,,,,
sequencer,done_col,1,1,Match,,,,,,
sequencer,done_row,1,1,Match,,,,,,
sequencer,fifo_din,32,24,Partial Opt,,,,,,
sequencer,fifo_write_en,1,1,Match,,,,,,
sequencer,i_fifo_blue_temp,32,32,Match,,,,,,
sequencer,i_fifo_green_temp,32,32,Match,,,,,,
sequencer,i_fifo_red_temp,32,32,Match,,,,,,
sequencer,img_ctrl_r,1,1,Match,,,,,,
sequencer,img_status_r,32,2,Partial Opt,,,,,,
sequencer,img_trans,1,1,Match,,,,,,
sequencer,img_tx_mon_r,34,21,Partial Opt,,,,,,
sequencer,pop,1,1,Match,,,,,,
sequencer,pst,2,2,Match,,,,,,
sequencer,push,1,1,Match,,,,,,
sequencer,reg_read_valid_q,1,1,Match,,,,,,
sequencer,tx_mac_str,1,1,Match,,,,,,
sequencer,tx_mac_vec,128,70,Partial Opt,,,,,,
sequencer,wr_pixel_valid,1,0,Optimized Out,,,,,,
sequencer,write_sub_pixel,2,2,Match,226,,,,,
top,btnc_q,0,1,Inferred / Generated,,,,,,
top,reg_read,0,1,Inferred / Generated,2,,,,,
uart_wrapper,o_r_txr_data,32,32,Match,32,,,,,
,=== TOTAL ===,1623,1180,,1180,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Module,Tot registers,Ex FF,Ac FF,Opt Out,Replicated ,Partial,explanation,,,
mux_sync,5,67,0,5,0,0,?? CRITICAL: Dead Module ,,,
Tx_phy,9,51,23,2,0,1,?? Warning: ??? ???????? ????? (????? ???? ?????),,,
fifo_async,12,113,32,4,0,6,?? Check Logic: ?-Output ?? ?-FIFO ????!,,,
msg_parser,17,210,156,3,0,1,?? Note: ?????? ?????? (RGB) ????? ?? ??? ????,,,
pixel_mem,16,232,228,3,2,4,?? High Optimization: ?????? ?????? + ???? ????,,,
Rx_phy,15,71,62,0,1,2,?? Stable: ???????????? ???????? ?????? ?-Timing,,,
sequencer,19,336,226,1,0,4,?? Stable: ???? ??????? ?? ??????,,,
Rx_mac,6,323,242,0,0,3,?? Stable: ????? ???? ????? ?-Frame,,,
Tx_mac,10,180,172,1,0,1,?? Stable: ????,,,
rst_n_sync,2,6,5,0,0,1,?? Stable: ????,,,
uart_wrapper,1,32,32,0,0,0,?? Perfect Match,,,
top,2,2,2,0,0,0,?? Perfect Match,,,
,,1623,1180,19,3,23,,,,
,,,,,,,,,,
Module,Total Registers,Expected FF ,Actual FF,Opt Out,Replicated,Partial,Explanation,,,
mux_sync,5,67,0,5,0,0,?? CRITICAL: Dead Module.,,,
Tx_phy,9,51,23,2,0,1,?? Warning: Half of the logic removed (mainly pause counter).,,,
fifo_async,12,113,32,4,0,6,?? Check Logic: FIFO Output was deleted!,,,
msg_parser,17,210,156,3,0,1,?? Note: Color calculations (RGB) removed due to lack of consumer.,,,
pixel_mem,16,232,228,3,2,4,?? High Optimization: Address replication + output removal.,,,
Rx_phy,15,71,62,0,1,2,?? Stable: Minor optimizations and replication for timing.,,,
sequencer,19,336,226,1,0,4,?? Stable: Removal of unused vectors.,,,
Rx_mac,6,323,242,0,0,3,?? Stable: Trimming of empty frame fields.,,,
Tx_mac,10,180,172,1,0,1,?? Stable: Functional / Intact.,,,
rst_n_sync,2,6,5,0,0,1,?? Stable: Functional / Intact.,,,
uart_wrapper,1,32,32,0,0,0,?? Perfect Match.,,,
top,2,2,2,0,0,0,?? Perfect Match.,,,
TOTAL,-,1623,1180,19,3,23,,,,
